Nombre ,Link,Task,Benchmark,Modelo,WER,CER,ExtraTraining Data,Parametros M ,Arquitectura,Fecha,FLOPS,Datos de entrenamiento en horas
A Comparative Study on Transformer vs RNN in Speech Applications,https://arxiv.org/pdf/1909.06317v2,Speech Recognition,AISHELL-1,CTC/Att,6.7,,FALSE,,,2019-09-13,,170
A Comparative Study on Transformer vs RNN in Speech Applications,https://arxiv.org/pdf/1909.06317v2,Speech Recognition,LibriSpeech test-clean,Transformer,2.6,,TRUE,,Transformer,2019-09-13,,960
A Comparative Study on Transformer vs RNN in Speech Applications,https://arxiv.org/pdf/1909.06317v2,Speech Recognition,LibriSpeech test-other,Transformer,5.7,,TRUE,,Transformer,2019-09-13,,960
Amortized Neural Networks for Low-Latency Speech Recognition,https://arxiv.org/pdf/2108.01553v1,Speech Recognition,LibriSpeech test-clean,AmNet,8.6,,FALSE,3.30E+07,,2021-08-03,2.53E+07,960
ASAPP-ASR: Multistream CNN and Self-Attentive SRU for SOTA Speech Recognition,https://arxiv.org/pdf/2005.10469v1,Speech Recognition,LibriSpeech test-other,Multistream CNN with Self-Attentive SRU,4.46,,FALSE,,,2020-05-21,1.67E+18,960
ASAPP-ASR: Multistream CNN and Self-Attentive SRU for SOTA Speech Recognition,https://arxiv.org/pdf/2005.10469v1,Speech Recognition,LibriSpeech test-clean,Multistream CNN with Self-Attentive SRU (WER includes text normalization),1.75,,FALSE,,CNN,2020-05-21,1.67E+18,
Audio-visual Recognition of Overlapped speech for the LRS2 dataset,https://arxiv.org/pdf/2001.01656v1,Automatic Speech Recognition (ASR),LRS2,LF-MMI TDNN,6.7,,,,,2020-01-06,,
Audio-Visual Speech Recognition With A Hybrid CTC/Attention Architecture,https://arxiv.org/pdf/1810.00108v1,Automatic Speech Recognition (ASR),LRS2,CTC/attention,8.2,,,,,2018-09-28,,
Auto-AVSR: Audio-Visual Speech Recognition with Automatic Labels,https://arxiv.org/pdf/2303.14307v3,Automatic Speech Recognition (ASR),LRS2,CTC/Attention,1.5,,,,,2023-03-25,,
Auto-AVSR: Audio-Visual Speech Recognition with Automatic Labels,https://arxiv.org/pdf/2303.14307v3,Automatic Speech Recognition (ASR), LRS3-TED,CTC/Attention,1,,FALSE,,,2023-03-25,,1921
Auto-AVSR: Audio-Visual Speech Recognition with Automatic Labels,https://arxiv.org/pdf/2303.14307v3,Visual Speech Recognition,LRS3-TED,CTC/Attention,19.1,,TRUE,,,2023-03-25,,3448
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Automatic Speech Recognition (ASR),HUI speech corpus,Conformer Transducer,1.89,,TRUE,1.18E+08,,2022-08-03,1.36E+13,326
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Automatic Speech Recognition (ASR),The Spoken Wikipedia Corpora,Conformer Transducer,8.04,,TRUE,1.18E+08,,2022-08-03,1.19E+13,285
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Automatic Speech Recognition (ASR),Voxforge German,Conformer Transducer,3.36,,TRUE,1.18E+08,,2022-08-03,1.46E+12,35
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Automatic Speech Recognition (ASR),M-AILabs speech dataset,Conformer Transducer,4.28,,TRUE,1.18E+08,,2022-08-03,9.85E+12,237
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Automatic Speech Recognition (ASR),VoxPopuli,Conformer Transducer (German),8.98,,,1.18E+08,,2022-08-03,1.11E+13,268
Automatic Speech Recognition in German: A Detailed Error Analysis,https://arxiv.org/ftp/arxiv/papers/2204/2204.05617.pdf,Speech Recognition,Common Voice German,Conformer Transducer (no LM),6.28,,TRUE,1.18E+08,,2022-08-03,4.01E+13,965
BAT: Boundary aware transducer for memory-efficient and low-latency ASR,https://arxiv.org/pdf/2305.11571v1,Speech Recognition,AISHELL-1,BAT,4.97,,FALSE,9.00E+07,,2023-05-19,1.01E+18,
Beyond Universal Transformer: block reusing with adaptor in Transformer for automatic speech recognition,https://arxiv.org/pdf/2303.13072v2,Speech Recognition,AISHELL-1,BRA-E,6.63,,FALSE,8.50E+06,,2023-03-23,,
BigSSL: Exploring the Frontier of Large-Scale Semi-Supervised Learning for Automatic Speech Recognition,https://arxiv.org/pdf/2109.13226v3,Speech Recognition,WSJ eval92,ConformerXXL-P,1.3,,FALSE,1.00E+09,,2021-09-27,,
Building state-of-the-art distant speech recognition using the CHiME-4 challenge with a setup of speech enhancement baseline,https://arxiv.org/pdf/1803.10109v1,Distant Speech Recognition,CHiME-4 real 6ch,HMM-TDNN(LFMMI) + LSTMLM + NN-GEV,2.74,,FALSE,,,2018-03-27,,
CAT: A CTC-CRF based ASR Toolkit Bridging the Hybrid and the End-to-end Approaches towards Data Efficiency and Low Latency,https://arxiv.org/pdf/2005.13326v2,Speech Recognition,AISHELL-1,CTC-CRF 4gram-LM,6.34,,FALSE,3.70E+07,,2020-05-27,,170
CAT: A CTC-CRF based ASR Toolkit Bridging the Hybrid and the End-to-end Approaches towards Data Efficiency and Low Latency,https://arxiv.org/pdf/2005.13326v2,Speech Recognition,WSJ eval92,CTC-CRF VGG-BLSTM,3.2,,FALSE,1.60E+07,LSTM,2020-05-27,,80
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-clean,Conformer(L),1.9,,FALSE,1.19E+08,Conformer,2020-05-16,,970
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-other,Conformer(L),3.9,,TRUE,1.19E+08,Conformer,2020-05-16,,970
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-clean,Conformer(M),2,,TRUE,3.07E+07,Conformer,2020-05-16,,970
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-other,Conformer(M),4.3,,TRUE,3.07E+07,Conformer,2020-05-16,,970
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-clean,Conformer(S),2.1,,FALSE,1.03E+07,Conformer,2020-05-16,,970
Conformer: Convolution-augmented Transformer for Speech Recognition,https://arxiv.org/pdf/2005.08100v1,Speech Recognition,LibriSpeech test-other,Conformer(S),5,,TRUE,1.03E+07,Conformer,2020-05-16,,970
ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,https://arxiv.org/pdf/2005.03191v3,Speech Recognition,LibriSpeech test-clean,ContextNet(L),1.9,,FALSE,1.13E+08,,2020-05-07,2.65E+09,970
ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,https://arxiv.org/pdf/2005.03191v3,Speech Recognition,LibriSpeech test-other,ContextNet(L),4.1,,FALSE,1.13E+08,CNN-LSTM,2020-05-07,2.65E+09,970
